Position (bp)	sample_01	sample_02	sample_03	sample_04	sample_05	sample_06	sample_07	sample_08	sample_09	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20
87	33.2425387153196	33.0959163008081	33.0254670764791	32.8913196344718	33.0920010408987	33.5291279393942	34.2735658502056	33.9598502093793	33.8205466750421	33.192234546586	33.1403308613903	33.6783246370903	32.4640172966047	33.3950086502323	33.1941734464784	33.2816567082382	33.2381419071991	32.8390532628957	31.6293419547083	23.121217919013
92	33.1209898342746	32.961520729363	32.9025231004988	32.7481274140207	32.9576671369814	33.4099167674421	34.1766459836074	33.8591998455664	33.7289159830067	33.0795867984884	33.019807830467	33.6155265033995	32.286895571081	33.2836708179107	33.0703670809025	33.1683946343643	33.0974593529775	32.698135317743	31.4507535168616	22.9786767759713
97	32.9908859492739	32.812065038243	32.7624103890876	32.5837224366069	32.7996085479204	33.2899182707863	34.0470267619795	33.748778257959	33.6403263183042	32.993260092113	32.8847143802821	33.5697258841976	32.0838865955116	33.1710825297499	32.9376673455812	33.0334501856656	32.9295823250579	32.5193818110422	31.2542345814202	22.807207093815
102	32.9025811061299	32.7049213910481	32.6549230196701	32.4762326992731	32.6785610521842	33.1754234971862	33.9465713525354	33.6419961330575	33.553036225412	32.868081707007	32.785201550557	33.5368855148416	31.9081196362097	33.0584312277626	32.8225748939873	32.9308111148558	32.8325458008445	32.4179565123055	31.1271532847238	22.7008998851316
107	32.6758348364793	32.4506438698498	32.443112368544	32.2420800119753	32.4396375343822	32.9374889445364	33.7413540962017	33.4322987466852	33.3339429235527	32.6403147875209	32.5561681207394	33.3312504423162	31.6191505121347	32.840610810639	32.5821176259091	32.7060168686417	32.661198943657	32.2319918815213	30.8848536641321	22.5239631172138
112	32.5678440483876	32.3214330154718	32.3249951468227	32.1321703473001	32.3168419693264	32.8170905285009	33.6283278549909	33.3124013527857	33.2255241809021	32.5080838967573	32.458088992965	33.2590574650324	31.4665725008528	32.7245652950512	32.4595017124553	32.5941865414639	32.5556167034193	32.1227419726065	30.7195605591074	22.4215188133801
117	32.4659157113254	32.2166691390086	32.2383060642023	32.0333020466579	32.2162002892423	32.7228400077173	33.5354226537442	33.2350748664897	33.1409902425131	32.4459444608208	32.3573082371712	33.1793610087177	31.3408374137652	32.6367217448981	32.3645225430604	32.4925259751484	32.4243157352927	31.9754032400735	30.5741819970966	22.2872971000862
122	32.3995697087287	32.1461534152019	32.1686525718677	31.9644738772803	32.1472674334327	32.6549967297707	33.47783279459	33.1735118956461	33.0852050222744	32.3767157551285	32.2766017478349	33.1344583660106	31.2387280923302	32.5497993899656	32.2846546055957	32.4008782758732	32.3695717821704	31.9274483992373	30.5501373394533	22.2454491042577
127	32.2728075818889	32.0250317275881	32.0528860166481	31.8367805173796	32.0086355954685	32.5410698125179	33.3421442062282	33.047694985102	32.9656142627998	32.2637015638623	32.1532113905803	33.0540640249705	31.1146074478643	32.4296358677711	32.1688664714573	32.276641386351	32.267389434284	31.830050017749	30.4589195803854	22.1418767248282
132	32.2160675580941	31.9760861694216	32.0100841631795	31.7844500861725	31.9500140420192	32.490437595803	33.2762753785023	32.9983736779366	32.913617169793	32.2286609801784	32.0797485160736	32.9991270035787	31.0530964795762	32.3593673807191	32.101186683375	32.1987542191828	32.2088490741923	31.7931367992154	30.4525553302772	22.105655264391
137	32.1017097824755	31.871575768015	31.9093718366534	31.6733683316983	31.836439688166	32.4161902623742	33.1696165919469	32.9169831157222	32.8272051001256	32.145011022055	31.9678431160625	32.8987265123416	30.957791990967	32.2456514270809	31.9971596819572	32.0789434485961	32.1027725839202	31.6926586965952	30.4463557299533	22.022138004967
142	32.0460661579324	31.8086293710765	31.8626001834461	31.6263362922076	31.7831913140192	32.3878670844869	33.1145403364633	32.8845864804844	32.7938205572747	32.1299527955968	31.9042420534731	32.834347387419	30.9094450176387	32.1812448309325	31.94098980966	32.0063514454366	32.076777348762	31.6782559564526	30.4792448645715	22.0186973336864
147	32.0058211948432	31.7762386721133	31.8198770106664	31.5955871500345	31.7361743290106	32.3645937921003	33.0529149314489	32.8192916399605	32.7485136717315	32.0850003290864	31.8742130202846	32.7994565546727	30.903507008185	32.1293209210574	31.911498870186	31.9656314390723	32.012038599161	31.6096320316525	30.461328046015	21.9660897925687
150	31.8684306583565	31.6422737490286	31.7067111111536	31.4632171515349	31.5880358754791	32.2488978100569	32.9117830088354	32.6929410384505	32.6231684498239	31.9929908339299	31.7395172546673	32.6770902271083	30.7953831855829	32.0111428104684	31.7980267121753	31.8318354209912	31.8685783353602	31.4658142257285	30.3407277128958	21.8326081639475
